text,page_number,title,creation_date,source
"# Canada

Another day, another pork sandwich. At Porchetta &#x26; Co., in Little Italy, the signature sandwich was for a time the only item on offer (the company has since expanded its menu to include fried chicken, a pastrami banh mi, arancini, and a range of sides, including poutine).
“It’s not a traditional porchetta in the sense of [being made from] a whole pig,” the restaurant’s owner, Nick Auf Der Mauer, told Tony. “It’s a marinated pork shoulder butt that’s wrapped in prosciutto . . . we wrap that in cured pork belly with the skin on.” The cracklings are then removed and roasted to maximum crispiness, then piled atop the main event, on a toasted roll. The end result is “juicy and delicious”—in other words, “kinda genius.”

PORCHETTA &#x26; CO.: 545 King Street West, Toronto, ON M5V 1M1, Tel 647
351 8844, www.porchettaco.com (sandwiches about CA$10/US$7.50)

Tosho Knife Arts is, according to Tony, “an awesome shop, unlike any other; the kind of Toronto hidden gem that’s there for the taking, if you know where to look.
Owners Ivan Fonseca and Olivia Go know everything there is to know about knives.” The shop is stocked mainly with super high-quality cooking, utility, and tactical knives from Japan, each with its own purpose. The staff can point you to different knives for octopus, noodles, breaking down a chicken, cutting through a lobster shell, and a knife with a blood drain hole, to avoid a suction delay when removing one’s blade from a victim. They also offer sharpening accessories, services, and classes.

TOSHO KNIFE ARTS: 934 Bathurst Street, Toronto ON M5R 3G5, Tel 647 722
6329, www.toshoknifearts.com (knives range from CA$100 to many thousands)

Vancouver

“What makes one city better than another? What makes a city . . . cool? Size?
Location? Infrastructure? Natural resources?
“I came here first on book tour, and liked it immediately.
“Sure, it rains all the time. And there’s no shortage of vegetarians. And they
have a public beach filled with albino nudists. Yet it recently ranked the most
livable city in the world. It’s a restaurant town. It’s a foodie town. It’s a chef town.
It’s a multicultural city. A proverbial melting pot . . . So, how about this cool thing?
Where do we track that down?”

ARRIVAL, AND GETTING AROUND TOWN",65,Canada,2025-12-22,World Travel Book
"# Canada

Vancouver International Airport (YVR) receives flights from all over British Columbia and the rest of Canada, the United States, and Mexico, along with a handful of cities in Europe and Asia. To get from the airport to the city, visitors can take the Canada Line Skytrain, originally built to handle the onslaught of visitors to the 2010 Winter Olympics, to downtown Vancouver, for CA$7.75 to $9/US$6–$7, depending on your final destination and time of day. It’s a twenty-five-minute ride; purchase tickets from the machines on the platform.

The airport is a nine-mile drive from downtown Vancouver, which can take anywhere from twenty to forty-five minutes in a taxi, hotel shuttle, or rented car, depending on traffic. Taxis charge a flat rate depending on your destination; expect to pay about CA$40/about US$30.50, including tip. Pacific Central Station is Vancouver’s train and bus terminal, servicing Canadian VIA Rail and Amtrak passengers, along with Greyhound and a host of other bus companies. The Rocky Mountaineer is a private tourist train line with its own eponymous station, and connections to Seattle and Canadian points north and east. Get around town on foot, on a bike, via car or taxi, or use Vancouver’s extensive public transit system, composed of three SkyTrain lines connecting the city to the suburbs, buses, commuter trains, and ferries. All the public transit info you need is at www.translink.ca.

EATING IN “CHEF TOWN”

“It probably helped that the first three people I met were three chefs: Pino [Posteraro], [Hidekazu] Tojo, and Vikram [Vij]. Three completely different chefs, making completely different food, but all three typical of the kind of diversity emblematic of Vancouver. “Pino is the chef of Cioppino’s Mediterranean Grill, which serves, unsurprisingly, modern Italian food with largely local ingredients. Pino was a pioneer in this neighborhood [Yaletown]. And he did it through grit, determination, and liberal use of child labor, apparently.” (Pino’s son, an adolescent at the time of",66,Canada,2025-12-22,World Travel Book
"# Canada

Tony’s last visit, could often be spotted working in the kitchen.) More than a decade on, Pino and his team continue to deliver an excellent experience.

CIOPPINO’S MEDITERRANEAN GRILL AND ENOTECA: 1133 Hamilton Street, Vancouver BC V6P 5P6, Tel 604 688 7466, www.cioppinosyaletown.com (appetizers CA$16–24/US$12–$18; pastas CA$30–$40/US$23–$31; entrées CA$38–48/US$29–$37) Like Pino, Tojo has also been an unusually steady presence in the dynamic Vancouver restaurant scene; his eponymous restaurant celebrated its thirtieth anniversary in 2018. Tojo is credited with introducing omakase-style Japanese dining to Vancouver, and local legend maintains that it was he who invented the now-ubiquitous California roll, as a gateway drug to his earliest Western guests, some of whom were uncomfortable with raw seafood wrapped in seaweed. “Tojo, unlike a lot of transplanted Japanese chefs, relies heavily on what is available locally, rather than getting everything flown in from Tokyo. He celebrates Vancouver’s rather extraordinary bounty of fresh seafood, and adapts his daily menu possibilities to that. More traditionally, he gets to know his customers personally, remembering their likes and dislikes, and building their meals around that knowledge.” Treat yourself to fatty bluefin tuna, uni, a tempura-fried zucchini blossom stuffed with a fresh scallop, and a Dungeness crab salad with mustard-miso dressing.

TOJO’S: 1133 West Broadway, Vancouver BC V6H 1G1, Tel 604 872 8050, www.tojos.com (entrées CA$28–$45/US$21–$35; omakase menus start at CA$80/US$61 per person for six courses)

And, rounding out the trio, Vikram Vij is also a Vancouver pioneer and mainstay, having been creating phenomenal Indian dishes with his business partner and ex-wife, Meeru Dhalwala, since 1994. “Vikram is a strange and wonderful mix of idealistic hippie and smart businessman, and [Vij’s is] the best, most modern and creative Indian restaurant in town.” In recent years, Vij has moved his eponymous flagship to a new location, expanded his second spot, Rangoli, into the former Vij’s space, scaled up his line of frozen foods to national-grocer-freezer-case levels, written a memoir, and opened two new restaurants, My Shanti and Vij’s Sutra.

VIJ’S: 3106 Cambie Street, Vancouver, BC V5Z 2W2, Tel 604 736 6664, www.vijs.ca (appetizers about CA$16/US$12; entrées about CA$30/US$23)

“But what about Vancouver’s street food? An indigenous, mutant form of wiener, perhaps? Japadog is one such place. Seaweed sprinkles, daikon radish, and",67,Canada,2025-12-22,World Travel Book
"# Canada

wasabi mayonnaise—the reason for Japadog’s name is crudely obvious, yet gratifying.
“If life has taught us anything, [it’s that] mystery meat in a tube form—mark of quality. Locals stacked up to eat it. Recognize these signs. Japadog is increasingly where the elite meet to eat.”
What was once limited to a single outdoor hot dog stand is now a veritable minichain, with six metro Vancouver locations, a roving truck, and two stands in Los Angeles, vending dogs with about two dozen combinations of Japanese condiments and seasonings (such as the Terimayo, a beef frank with teriyaki sauce, fried onions, and Kewpie mayonnaise; the Negimiso dog, a turkey frank topped with miso sauce and shredded cabbage; and the Yakisoba, an arabiki sausage topped with griddled noodles).
Some locations also offer french fries, seasoned with the likes of Japanese pickled plum (ume), butter, soy sauce, and dried ground seaweed.

JAPADOG (original location): 899 Burrard Street, Vancouver BC V6Z 2K7, Tel 604 322 6465, www.japadog.com (hot dogs CA$6–$9/US$4.50–$7)",68,Canada,2025-12-22,World Travel Book
# General,69,General,2025-12-22,World Travel Book
NO_CONTENT_HERE,70,General,2025-12-22,World Travel Book
"# China

China

Hong Kong

“China, but not China, a thing all its own. Basically, if you can’t enjoy Hong Kong
for a few hours or days, there’s no hope for you.”
Tony visited Hong Kong three times: first, as a relative travel novice, for       No
Reservations:     he cheered on the horses at Happy Valley Racecourse, witnessed the
dying art of bamboo noodle making, and was rendered airborne and nimble in the hands
(and extensive riggings) of Jackie Chan’s personal stunt team. A few years later, he
returned, cranky and sweaty, for The Layover, using his forty-eight hours to have a
custom suit made, ride the Star Ferry, buy a cleaver, and eat roast goose and dim sum.
And on his third visit, for Parts Unknown, he fulfilled a dream of spending long
shooting days and nights with a personal hero of cinematography:
“All of us, when we travel, look at the places we go, the things we see, through
different eyes. And how we see them is shaped by our previous lives, the books
we’ve read, the films we’ve seen, the baggage we carry.
“Years ago, when I first watched the stunningly beautiful films of director
Wong Kar-wai, it shaped forever the way I see Hong Kong. From that point on, my
hopes, my expectations of this city, would be seen through that lens, a lens that
was, in nearly every case, pointed by, focused by, this man: Christopher Doyle,
longtime resident of Hong Kong, known by his Mandarin name, ‘Du Ke Feng.’ His
earlier works with Wong Kar-wai were distinguished by unspeakably gorgeous
images of beautiful people moving through spaces both unfamiliar and yet painfully
intimate; alternately jagged, frenzied, innovative, languid, composed, chaotic. I
obsessed over his work. Fetishized it. Longed to see Hong Kong like the characters
in so many of his films longed for each other. And I feared, like those characters, I
would be denied. I was wrong.”

ARRIVAL AND GETTING AROUND",71,China,2025-12-22,World Travel Book
"# Hong Kong

Hong Kong International Airport (HKG), on Chek Lap Kok Island, is, as Tony said in The Layover, “the front porch to mainland China and the rest of Asia . . . a major stopover, a frequent layover.” One of the world’s busiest airports by volume of passengers, it is the home base of Cathay Pacific. British Airways, Virgin Atlantic, Singapore Airlines, Korean Air, and dozens more major carriers also land flights there every day. To get to the city from the airport, you can take a taxi, or a shuttle or van prearranged by your hotel. For an approximately US$200 fee, the Peninsula Hotel will send a driver meet guests at their gate with a motorized cart, escort them through baggage and customs into the special limousine parking area, and drive them to the hotel in a Rolls-Royce Ghost equipped with Wi-Fi, bottled water, and a cool towel for your face. You can also take the Hong Kong Airport Express, a train that will get you to Central Hong Kong in about twenty-five minutes, for about HK$115/US$15. Hong Kong’s Mass Transit Railway (MTR) has ten lines that reliably shuttle you around and across the city, comfortably and safely, with directions and announcements in English, Cantonese, and Mandarin. “The way they talk about their subway system around here, you’d think they were getting paid every time they mentioned it. It is clean, easy to navigate, and gets you to over sixty destinations easily and comfortably.” Buy tickets and consult maps in the stations. Taxis are also readily available in Hong Kong, though traffic can be intense (and fares expensive). Uber operates in both Kowloon and Central, and to get between them, a ride across the harbor on the Star Ferry is romantic, efficient, and cheap—about HK$3/US$0.40 in either direction. As of this writing, Hong Kong is experiencing political upheaval and sustained protests that have occasionally disrupted airport service and mass transit; keep an eye on news reports and consult your country’s embassy before planning travel.

ROAST MEAT, NOODLES, DRUNKEN CHICKEN, ELBOWS, FISH TRIPE, SPICY CRAB, AND THE NEW OLD WAY: HONG KONG

“I’m constantly asked, ‘What’s the greatest food city in the world?’ And I always say that no one can say you’re wrong if you say Hong Kong.” Once you touch down in Hong Kong, make a beeline to the tiny, packed Joy Hing’s Roasted Meat, a Cantonese char siu (barbecue) joint that’s more than a century old. Or, for another char siu option, have lunch at Kam’s Roast Goose, which has a reputation for perfect goose and pork, and is the holder of a Michelin star to boot. “Yeah, I like pork, and I know I talk about it a lot and how it’s wonderful and how it’s, like, the best thing ever. But in fact, in fact, the best thing ever is actually",72,Hong Kong,2025-12-22,World Travel Book
"# Hong Kong

goose.”

JOY HING’S ROASTED MEAT: Chong Hing Building, 265–267 Hennessy
Road, Chai Hu, Hong Kong, Tel +852 2519 6639, www.joyhing.com (typical
goose or pork portion over rice about HK$47/US$6)

KAM’S ROAST GOOSE: 226 Hennessy Road, Wan Chai, Hong Kong, Tel +852
2520 1110, www.krg.com.hk (roast goose over rice about HK$53/US$7)

“The love of money and shiny new things is slowly but surely erasing the past.
So, before it’s gone, this is a reminder. This is the way Hong Kong used to eat: at
dai pai dongs. Cheap, delicious food served from open-air stalls. Pull up a plastic
stool, crack a beer, fire up the wok.”
As chef Gazza Cheng explained to Tony on Parts Unknown, the name dai pai dong
means “big license place.” And, as the aforementioned love of shiny new things
continues apace, there were, in 2018, only twenty-eight remaining licensed dai pai
dongs in the whole of the city, one of them being Gazza Cheng’s own Keung Kee. Try
the drunken chicken: “hacked-up birds, cooked in hot pot with medicinal roots and
herbs that will no doubt make me strong.” Follow that with fish tripe in egg custard,
topped with youtiao, a kind of crisp fried Chinese breadstick.
At another dai pai dong, called Sing Heung Yuen, the menu is heavy with a
specific type of comfort food: elbow macaroni in tomato soup, topped with fried eggs
and spam; thick white toast, buttered and drizzled with honey; and a milky caffeinated
beverage known as Hong Kong milk tea or, locally, “silk stocking tea,” so named for the
look of the elongated filter used in its making, and for the color of the drink itself.

KEUNG KEE: Shop 4, Yiu Tung Street, Sham Shui Po, Hong Kong, Tel +852
2776 2712 (typical meal HK$20–$40/US$2.50–$5)

SING HEUNG YUEN: 2 Mee Lun Street, Central, Hong Kong, Tel +852 2544
8368 (typical meal HK$20–$40/US$2.50–$5)

“At first, Hong Kong is an utterly foreign world, a shock to the system. Am I
lost? Not exactly. I find myself wandering Temple Street, known for its night
markets and street food, grit and gristle. It’s an instinctive move.”
The Temple Street Night Market is the last of its kind in the city, a collection of
clothing and souvenir vendors, street entertainers and, on Woo Sung Street and Temple
Street, north of the temple complex for which it is named, plenty of vendors serving
noodles, seafood, soups, roasted and grilled meats, cold beer, and sweets to patrons
crowded around small plastic tables on stools and folding chairs.",73,Hong Kong,2025-12-22,World Travel Book
"# Hong Kong

TEMPLE STREET NIGHT MARKET: Temple Street, Jordan, Hong Kong,
www.temple-street-night-market.hk (prices vary)

Atop the Java Road wet market, in the North Point neighborhood, you’ll find Tung Po, a raucous, sprawling Cantonese seafood joint.
“It is awesomeness itself, I tell you from personal experience. Eat everything, but do not miss the black squid ink pasta—amazing. And do make a reservation. This place is busy, and busy for a reason.”

TUNG PO SEAFOOD AT JAVA ROAD MARKET: 2nd floor, Java Road Municipal Services Building, 99 Java Road, North Point, Hong Kong, Tel +852 2880 5224 (dishes HK$88–$233/US$11–$33)

“Lau Sum Kee is run by the third generation of a family who still prepare their wontons from scratch, and make their bamboo noodles the painfully labor-intensive, time-consuming old-school way. Lau Sum Kee is one of the last operations in Hong Kong to do this. It commands respect, and believe me, it results in the perfect noodle.”
Lau Sum Kee’s jook sing noodles are made of wheat flour, duck and chicken eggs, and oil. The proprietor, Lau Fat-cheong, who runs the business with his brothers, mixes the dough and kneads it by sitting on one end of a large bamboo pole, applying just the right amount of pressure so that the noodles and wonton wrappers are compact and springy, a physically difficult, at times even punishing process. At the shop, the wontons are stuffed with pork and a whole shrimp, and the noodles are tossed with shrimp roe.

LAU SUM KEE: 48 Kweilin Street, Sham Shui Po, Hong Kong, Tel +852 2386 3533 (noodles and wontons HK$30–$50/US$3.50–$6.50)

“Chef-owner May Chow is the creative force behind Happy Paradise, a restaurant and bar serving traditional Cantonese dishes made with modern cooking techniques. Sautéed prawns with pan-roasted pumpkin, dried shrimp roe, and prawn oil; tea-smoked pigeon, served medium rare, sea salt on the side; Hakka-style chicken, poached in Shaoxing wine with oyster mushroom fried rice and shiitake broth; pig brain with burnt pear vinaigrette—all of it truly, stunningly delicious.”
On Parts Unknown, Chow sat down with Tony in Happy Paradise’s hypermodern, neon-accented dining room. “How do I be modern, but not lose the soul of it?” she asked. “Those are dishes that I feel even Hong Kong people don’t do so much anymore, because it’s such an old-fashioned dish, so we want to make it cool again.”

HAPPY PARADISE: 52–56 Staunton Street, Central, Hong Kong, Tel +852 2816 2118, www.happyparadise.hk (dishes HK$78–$220/US$10–$28)",74,Hong Kong,2025-12-22,World Travel Book
"# China

Shanghai

Tony made two trips to Shanghai: in 2007 for No Reservations, and again in 2015 for
Parts Unknown. He was astonished by the pace of change that had manifested between
those two visits.

“Shanghai: an exploding economic superpower, where buildings go up as old ones
go under, where the history gives way to what appears to be an inevitable future as
capital of the world.
“If you live in Manhattan, as I do, and you think you live in the center of the
world, Shanghai will confront you with a very different reality. Turn down a side
street—it’s an ancient culture. The centuries-old mix of culinary traditions, smells,
flavors. A block away, this: an ultramodern, ever-clanging cash register, levels of
wealth, of luxury, the sheer volume of things and services unimagined by the
greediest, most bourgeois of capitalist imperialists.”
Shanghai is a city of twenty-five million people, cleaved into two sections, old and
new, by the Huangpu River, itself a tributary of the Yangtze. The old section, west of the
river, includes the Bund, whose dozens of historic buildings along the waterfront once
housed Western-owned banks, trading houses, publishing concerns, and consulates,
along with Chinese banks and government headquarters. The eastern side includes the
newer, built-up and most populous section, Pudong, which means “East Bank,” and is
home to Shanghai’s World Financial Center and a number of skyscrapers that make up
the city’s iconic waterfront skyline.

ARRIVAL AND GETTING AROUND

Shanghai has two major airports: Pudong (PVG), which mostly serves international
flights, and Hongqiao (SHA), with a few international flights and a number of regional
and domestic routes.
PVG, a hub for China Eastern Airlines, is the busiest international airport in China.
To make the nineteen-mile journey from PVG to the center of Shanghai, you can take the
Shanghai Metro, one of several bus routes, a high-speed train, or a metered taxi, which
should take about forty minutes and cost 170–240 Chinese yuan/US$24–$34, depending
on your destination. Taxi drivers do not expect tips, but rounding up the fare to avoid
asking for change is appreciated. For ground transportation details, see www.shanghai-
airport.com.",75,China,2025-12-22,World Travel Book
"# China

Essential    Shanghai              Dishes,                  According          to
“China Matt”

For his visits to mainland China, Hong Kong, and other selected
parts of Asia, Tony was accompanied and guided by Matt Walsh,
an American journalist who has been living in Hong Kong for two
decades, and whom Tony and his crew called, affectionately,
“China Matt.”
“It’s worth noting that many Shanghai restaurants have several
dishes that are Sichuanese in origin,” said Walsh. “Shanghai is at
the other end of the Yangtze from Sichuan, and several classic
dishes came down the river, were adopted by the local cuisine,
and toned down for local tastes. Ma po dou fu, gan bian si ji dou
(dry fried string     beans),      and kou shui             ji’    ‘mouthwatering
chicken’—are among such dishes.”
Walsh shared what he calls “an incomplete short list of other
important Shanghai dishes”:

SHIZI TOU: “Lion’s head meatballs,” made of pork and seasoned with ginger,
scallions, sesame, soy, and sugar.

XUE CAI MAO DOU BAI YE: Tofu “leaves” (actually sheets), with young
green soybeans and “snow vegetable,” or finely chopped pickled mustard greens.

XUN YU: The name translates as “smoked fish,” but it’s actually deep-fried and
served glazed, at room temperature, as an appetizer.

SHENGJIAN BAO: Panfried yeast dough dumplings filled with seasoned pork,
lightly seared in a pan and then steamed to finish cooking.

DONGPO ROU: Pork belly braised in soy sauce, rice wine, and stock, with sugar,
ginger, garlic, scallions, and star anise; it’s a dish that is more closely associated
with nearby Hangzhou.

LONGJING XIAREN: River shrimp, stir-fried with longjing tea leaves. This is
also a Hangzhou dish, but it’s prepared broadly within the region.

HAIRY CRAB: Also known as Chinese mitten crab, for the brown fur on its
claws, hairy crab is a burrowing river crab that emerges (and is hunted by hungry
humans)   in the ninth and tenth months of the      lunar  year, typically between
September and November. It’s prized for its sweet flesh and golden roe, and is
traditionally served steamed with a simple sauce of vinegar and ginger.
The most famous source of “the best” hairy crabs is Yangcheng Lake, outside
Shanghai. Yangcheng  Lake hairy   crabs    are      highly  regulated  to prevent
counterfeiting; however, if crabs raised elsewhere are plopped into Yangcheng
Lake for a short dip, they can then legally be called “authentic” in origin. Go figure.",76,China,2025-12-22,World Travel Book
"# China

XIAO LONG BAO: The little soup dumplings, of course. I recall Tony referring
to them as “the world’s most perfect food.”

If you’re arriving in Shanghai from another part of China, you may be routed to
Hongqiao, also a China Eastern hub. It’s located about eight miles from the city center,
which you can reach via metro, bus, or metered taxi, the later of which takes about thirty
minutes, with an average fare about 100 yuan/US$15. See www.shanghai-hongqiao-
airport.com for ground transportation details.
The city itself has excellent and extensive public transportation, including over a
thousand bus lines operated by a number of companies, a thirteen-line subway system
(with more lines in development), and metered taxis. The official website of the city’s
transit system is www.service.shmetro.com, but from the United States, you’ll have
better luck loading a commercial site like www.chinatravelguide.com.

EATING IN SHANGHAI

“What is classic Shanghainese food? What’s distinctive about it? It’s often black,
or dark, and heavily inflected with oil, soy, and sugar. Shanghai is, and has been for
some time, a city of immigrants. And the      food reflects that    genealogy: a
combination of people from neighboring Zhejiang Province, known for their liberal
use of sugar, soy, and vinegar; and from Jiangsu Province, known for fresh
ingredients and attention to preserving the aliveness of its dishes. It’s the best of
both worlds: great sauces, great ingredients.”
For soup dumplings, or xiao long bao, it’s hard to do better than Fu Chun Xiaolong.
“Xiao long bao: literally, ‘small steaming basket buns,’ but I translate them in
my head as ‘pillows of happiness that will scald your tongue and throat if you don’t
know what you’re doing.’ Look, there are a lot of reasons to come to China, and to
Shanghai in particular, but these babies, done right? These things alone are worth
the trip.",77,China,2025-12-22,World Travel Book
"# China

“The wonder that is the soup dumpling requires an unearthly, or at least
physically unlikely, suspension of boiling-hot broth and savory meat in a near
paper-thin, immaculately crafted envelope of dough.
“How is it done? Basically, a gelatin-rich broth is made with pork stock. It’s
chilled into a solid, and worked in with the filling. Upon steaming, it melts into a
delightfully mouth-searing ambrosia.  Dangerous,   impossible, and     unspeakably
delicious.”

FU CHUN XIAOLONG: 650 Yuyuan Road, Jing’an District, Shanghai Shi,
200000, Tel +86 21 6252 5117 (6 pork xiao long bao, 12 yuan/about US$1.70; full
meal 85–110 yuan/US$12–$15)

“Maybe the number one thing that the seriously food-crazed traveler coming
back from Shanghai will tell you to eat, other than the soup dumplings of course, is
zi ran pai gu, or simply, cumin ribs.” The place to go is Di Shui Dong.
“It takes two cooks working at once to make this dish. One deep-fries the ribs
in hot oil until just right; another toasts the ginger, cumin, and other spices in a
wok, and then in go the ribs. And if you’re a devotee of what’s called wok hei, you
sit as close to the kitchen as possible to capture that elusive, fast-dissipating
breath, the flavor of the wok itself.”

DI SHUI DONG: 56 Maoming South Road, 2nd floor, Huaihai Road District,
Shanghai, Tel +86 21 6253 2689 (cumin ribs about 60 yuan/US$8.25)

Sichuan Province

“You know what I like? I like Sichuan Province, located in the southwest of China,
over a thousand miles from Beijing. A region so fertile and lush that it’s been
referred to as China’s breadbasket.
“It’s the spicy, sensualist heartland of all the things I love about China. Man, I
love the food here. The    collision between very, very old and very new. An
exploding middle class. A lot of history. And food that can burn you down to a
charred, smoking little stump.”
About once a year, Tony brought his friend Eric Ripert, chef of New York’s three-
Michelin-star-holding Le Bernardin, along on a TV shoot. Somewhere along the line, an
aspect of playful torture became baked in to the dynamic of these episodes, which was
never more apparent than when the duo ate their way around the region, in 2016, for
Parts Unknown.",78,China,2025-12-22,World Travel Book
"# China

“I figured if I’m going back to Sichuan, I should bring a friend. Someone unused
to the—how shall I say—level of heat commonly found in the food here. Someone
who’s never been to China before, and is unused to its ways. I’m talking, of course,
about Eric.”
In preparing Ripert for the days to come, Tony cautioned his increasingly concerned
friend,    “Drinking culture is very important here, and if we go to a formal meal,
your ability to drink leads to a number of assumptions about you. You know? Your
general manliness. Penis size. Your worth as a human being.”

ARRIVAL

Shuangliu International Airport (CTU) services Chengdu, Sichuan Province’s capital
city. CTU is a hub for Air China and Sichuan and Chengdu Airlines, and has direct
flights from many cities in China and throughout Asia, as well as direct flights from
Chicago, Los Angeles, New York, San Francisco, and Vancouver, a handful of major
European cities, and various cities in Australia. It’s about ten miles from the airport to
the center of Chengdu; upon arrival, you’ll have the option to take a metered taxi for 60–
80 Chinese yuan/US$9–$11, one of three city buses, or a high-speed train that each cost
about 11 yuan/US$1.50 per one-way trip. Train and subway information can be found at
www.chengdurail.com, and the  easiest way to  access bus information is  at
www.chinatravelguide.com.

EATING IN CHENGDU

“Here’s something they talk about a lot in Sichuan when discussing food: two
elements of flavor, personified by two ingredients that are integral to so much of
the cooking around here. The Sichuan peppercorn, known for its flowery, aromatic",79,China,2025-12-22,World Travel Book
"# China

flavor and its tingly, mind-arranging, mouth-numbing effects. A phenomenon called
ma. And the spicy chili peppers like erjingtiao, or the even hotter Facing Heaven
Chili, provide the la, pure heat. So, if you imagine, like, Ilsa, She-Wolf of the SS,
tormenting you with nipple clamps as the la, the      ma, provided by the pleasantly
deranging peppercorns, would be like the naughty nurse with the ice cubes.
“Noodles, that’s where you should start around here. Chengdu is famous for
little spots like this—Xiao Ming Tang Dan Dan Tian Shui Mian, named after a
much-beloved Chengdu noodle snack.” Acclimate your palate with a visit to one
outpost of this Chengdu minichain, where you can sample the signature dan dan mian,
wheat noodles tossed by the diner in a complex blend of chili oil, seasoned ground
pork, and a savory sauce that balances sweetness, acidity, bitterness, saltiness, and
spice.

XIAO MING TANG DAN DAN TIAN SHUI MIAN: 1 Jiangjun Street, Luo
MaShi, Quingyang Qu, Chengdu Shi (no phone, no website) (dan dan noodles
about 10 yuan/US$1.40)

At Tian Tian Fan Dian, give yourself the chance to warm up to the chewy goodness
of spicy pickled chicken feet. “Lao zhi chi literally means ‘spicy chicken,’ but the
dish, in practical terms, is a game of finding the bits of chicken in the mountain of
ass-burning goodness. C’mon, it’s fun for the whole family! ‘Is that a tiny nubbin of
hacked chicken? Or a nuclear cluster of chili seeds?’
“For me, the apex of Sichuan food, my absolute favorite, improbably enough, is
a tofu dish. The legendary mapo dofu, or, ‘pockmark granny tofu’: ground pork or
beef, cubes of bean curd, in a rich, deeply nuanced, fiery but intensely satisfying
sauce of chili oil, bean paste, garlic shoots, ground Sichuan peppercorns, and MSG.
This dish, done right, has got it all. Oh, that’s so good. It’s a perfect balance of
stuff going on in here. I just love, love, love this dish.”

TIAN TIAN FAN DIAN: Yu E Street, Wuhou Qu, Chengdu Shi, Tel +86 28 8557
4180 (typical plates 12–40 yuan/US$2.50–$5.75)",80,China,2025-12-22,World Travel Book
"# China

In the Sichuan region, one dish is almost universally enjoyed, a lunch or dinner that a family or group of friends might gather around once a week or more: Sichuan hot pot.
“Look deep. Deep into the murky depths of that most glorious and iconic of Sichuan dishes. It burns. It burns you down to your soul.
“The way it works is, you order a whole bunch of ingredients—meat, vegetables, noodles, fish—whatever you like, a lot of different ingredients, and you feed them into the pot. The inner ring is a more neutral broth. The outer ring, though, is the good stuff. The hard stuff.
“Common ingredients like tofu and seaweed, various meats and fishes, are stirred in, along with ingredients that are, shall we say, less familiar to the Western palate. As it cooks down it gets stronger and stronger, and the heat more intense—a delicious yet unpredictable silt of spice gathering at the bottom of this river of hot lava.”

CHONGQING LIANGLUKOU HUO GUO: Gao Xin Qu Zizhu Bei Jie 2 Hao, Chengdu Shi, Tel +86 2885561337, www.cdliangkuo.com (hot pot about 80 yuan/US$12 per person)",81,China,2025-12-22,World Travel Book
# General,82,General,2025-12-22,World Travel Book
NO_CONTENT_HERE,83,General,2025-12-22,World Travel Book
"# Croatia

Tony was an avid reader, often consuming the history and literature of a place before visiting, so as to better understand the people he was about to meet, and to put in context the things he’d see and hear. For the Croatia episode of No Reservations, he read Rebecca West’s Black Lamb and Grey Falcon, a two-volume book that details her six-week expedition, undertaken in 1937, through the Balkan states, published on the eve of Germany’s invasion of Yugoslavia. The rest he’d gleaned from “twenty-four-hour cable news, [about] a war that took place nearly two decades ago,” referring to the Balkan or Yugoslav wars that broke up the former Yugoslav state and resulted in the deaths of at least 100,000 people between 1990 and 2001. “I didn’t have any idea what Croatian cuisine was, zero. I had no picture in my mind. I knew vaguely that it had been part of Rome or part of the Venetian empire way back; that it was pretty. But that was about it. “You know, I’ll tell you honestly: if you like food and you haven’t come here to eat, you’re really missing the fucking boat. This is world-class food; this is world-class wine; this is world-class cheese. The next big thing is Croatia. If you haven’t been here, you’re a fucking idiot. I’m an idiot.” Though the Dalmatian coast, in the southern part of the country, is justifiably a magnet for those seeking a Mediterranean dream vacation away from the hordes in more well-traveled areas of Europe, Tony’s visit focused on the northern and central coastal areas and islands, areas even more luxuriously underpopulated.

ARRIVAL AND GETTING AROUND

Zagreb’s Franjo Tudman Airport (ZAG) is the country’s largest and busiest airport, located in the north central region of the country, and about a three-hour drive from Rovinj, where Tony began exploring various Croatian coastal locations for No Reservations. It is primarily served by Croatia Airlines, along with flights to and from European and Middle Eastern cities on British Airways, Qatar Airways, Air Serbia, KLM Royal Dutch Airlines, Air France, and others.",84,Croatia,2025-12-22,World Travel Book
